id_processo;numero;pasta;status_label;area;instancia_label;uf;comarca;tribunal_sigla;tribunal_nome;vinculo;nome_contrario;titulo_acao;valor_causa;data_cadastro;data_distribuicao;data_encerramento;fase_atual;advogado;entrou_no_dashboard
2368474;5006221-14.2019.4.04.7205;9583;Ativo;Tributário;;SC;Blumenau;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Executado;UNIÃO FAZENDA NACIONAL;;0;2019-06-12;2019-06-12;;;Controladoria;sim
2365960;0903159-03.2017.8.24.0125;9361;Ativo;Cível;1º Grau;SC;;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Executado;MUNICÍPIO DE ITAPEMA;execução da TLF de 2016, Município de Itapema;0;2018-04-03;2018-04-03;;;MAIKO ROBERTO MAIER;sim
2364172;5014759-77.2016.4.04.7208;5281;Ativo;Tributário;1º Grau;SC;Blumenau;TRF4;TRF4 - Tribunal Regional Federal da 4ª Região;Executado;UNIÃO FAZENDA NACIONAL;;48492.3;2019-06-12;2019-06-12;;;KIM AUGUSTO ZANONI;sim
