id_processo;numero;pasta;status_label;area;instancia_label;uf;comarca;tribunal_sigla;tribunal_nome;vinculo;nome_contrario;titulo_acao;valor_causa;data_cadastro;data_distribuicao;data_encerramento;fase_atual;advogado;entrou_no_dashboard
11067870;10314-720.089/2024-20;16263;Ativo;Tributario;1o Grau;SP;Sao Paulo;;;Autuado;DECEX/SPO;Infracao Mercadoria Pena Perdimento;2028912;2024-05-06;2024-04-22;;;KIM AUGUSTO ZANONI;sim
11067863;10314-720.090/2024-54;16262;Ativo;Tributario;1o Grau;SP;Sao Paulo;;;Autuado;DELEGACIA DA RECEITA FEDERAL;Infracao Omissao;250049.86;2024-05-06;2021-11-22;;;KIM AUGUSTO ZANONI;sim
7993639;10314-720.354/2023-99;15316;Ativo;Aduaneiro;1o Grau;SC;Sao Paulo;;;Autuado;DELEGADO RFB SP;Pena de perdimento;0;2024-01-10;2023-12-23;;;KIM AUGUSTO ZANONI;sim
6166950;13032.625422/2023-61;14583;Ativo;Aduaneiro;1o Grau;;;;;Autuado;RECEITA FEDERAL;TDPF-F 0480/2023;0;2023-09-06;;;;KIM AUGUSTO ZANONI;sim
