id_cliente;nome_empresa;processos_brutos;processos_no_dashboard;apontamentos_ts;horas_total;compromissos_agenda
680630916;PRAIHOLL EMPREENDIMENTOS LTDA;22;22;927;377.5;0
682454260;DUBAI MALL PH EMPREENDIMENTOS SPE LTDA;7;7;170;67.0;0
