id_processo;numero;pasta;status_label;area;instancia_label;uf;comarca;tribunal_sigla;tribunal_nome;vinculo;nome_contrario;titulo_acao;valor_causa;data_cadastro;data_distribuicao;data_encerramento;fase_atual;advogado;entrou_no_dashboard
15569101;5006631-12.2026.4.04.0000;23082;Ativo;Aduaneiro;2o Grau;RS;Porto Alegre;TRF4;TRF4;Agravante;Inspetor Chefe da Alfandega - UNIAO - FAZENDA NACIONAL;Agravo de Instrumento;121789.87;2026-03-06;2026-03-03;;;KIM AUGUSTO ZANONI;sim
14963862;5070414-61.2025.4.04.7000;22319;Ativo;Aduaneiro;1o Grau;PR;Curitiba;TRF4;TRF4;Impetrante;Inspetor Chefe da Alfandega;;121789.87;2025-12-04;2025-12-09;;;KIM AUGUSTO ZANONI;sim
14952793;10906.418733/2025-13;22244;Ativo;Aduaneiro;1o Grau;SC;Curitiba;;;Notificado;ALFANDEGA DA RECEITA FEDERAL DO BRASIL DE CURITIBA;Termo de Ciencia RCS-799/2025;0;2025-11-27;;;;KIM AUGUSTO ZANONI;sim
