id_processo;numero;pasta;status_label;area;instancia_label;uf;comarca;tribunal_sigla;tribunal_nome;vinculo;nome_contrario;titulo_acao;valor_causa;data_cadastro;data_distribuicao;data_encerramento;fase_atual;advogado;entrou_no_dashboard
6165507;13033.582112/2020-92;14561;Arquivado Definitivo;Tributário;1º Grau;PR;Curitiba;;;Indiciado;RECEITA FEDERAL DO BRASIL;Ação Fiscal;0;2023-09-04;;2021-06-24;;KIM AUGUSTO ZANONI;sim
6165503;1125163-03.2019.8.26.0100;14559;Arquivado Definitivo;Cível;1º Grau;SP;São Paulo;TJSP;TJSP - Tribunal de Justiça do Estado de São Paulo;Requerido;H.M. WAY COMERCIO EXTERIOR LTDA;Quanto à Carga;35388.5;2023-09-04;2019-12-11;2022-02-24;;MAIKO ROBERTO MAIER;sim
6165500;5002253-89.2021.4.03.6119;14558;Arquivado Definitivo;Tributário;1º Grau;SP;Guarulhos;TRF3;TRF3 - Tribunal Regional Federal da 3ª Região;Impetrante;UNIÃO FAZENDA NACIONAL;Mandado de Segurança ;439600.98;2023-09-04;2021-03-08;2022-05-03;;MAIKO ROBERTO MAIER;sim
6165498;1.33.000.001127-2022-63;14557;Ativo;Penal-Criminal;1º Grau;;;;;Indiciado;;Inquérito Policial - PIC;0;2023-09-04;;;;MAIKO ROBERTO MAIER;sim
6165435;5006984-23.2020.8.24.0113;14545;Baixado;Cível;2º Grau;SC;Florianópolis;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Reu;HESA 164 - INVESTIMENTOS IMOBILIARIOS LTDA.;Rescisão/Resolução;114530.2;2023-09-04;2020-10-21;2025-05-26;;MAIKO ROBERTO MAIER;sim
6165432;5034189-07.2022.8.24.0000;14544;Arquivado Definitivo;Cível;1º Grau;SC;Florianópolis;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Agravante;DC LOGISTICS BRASIL LTDA;Agravo de Instrumento;0;2023-09-04;2022-06-21;2022-09-23;;MAIKO ROBERTO MAIER;sim
6165431;5014242-62.2022.8.24.0033;14543;Arquivado Definitivo;Cível;1º Grau;SC;Itajaí;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Requerente;DC LOGISTICS BRASIL LTDA;Incidente de Desconsideração de Personalidade Jurídica;111895.3;2023-09-04;2022-06-03;2023-03-27;;MAIKO ROBERTO MAIER;sim
6165423;5000479-91.2022.8.24.0033;14542;Arquivado Definitivo;Cível;1º Grau;SC;Itajaí;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Embargante;DC LOGISTICS BRASIL LTDA;Embargos à Execução;72566.75;2023-09-04;2022-01-11;2023-02-03;;MAIKO ROBERTO MAIER;sim
6165410;5026965-84.2020.8.24.0033;14541;Arquivado Definitivo;Cível;1º Grau;SC;Itajaí;TJSC;TJSC - Tribunal de Justiça do Estado de Santa Catarina;Executado;DC LOGISTICS BRASIL LTDA;Marítimo - Execução de título extrajudicial;72566.75;2023-09-04;2020-12-02;2023-04-11;;MAIKO ROBERTO MAIER;sim
6165405;0011357-08.2021.8.26.0562;14540;Arquivado Definitivo;Cível;1º Grau;SP;Santos;TJSP;TJSP - Tribunal de Justiça do Estado de São Paulo;;PLUS CARGO INTERNACIONAL LTDA.;Cumprimento de Sentença;0;2023-09-04;2021-08-12;2022-08-09;;MAIKO ROBERTO MAIER;sim
6165398;1016156-14.2020.8.26.0562;14539;Arquivado Definitivo;Cível;1º Grau;SP;Santos;TJSP;TJSP - Tribunal de Justiça do Estado de São Paulo;Requerido;PLUS CARGO INTERNACIONAL LTDA.;Marítimo - Transporte de Coisas;13408.8;2023-09-04;2020-08-27;2021-08-09;;MAIKO ROBERTO MAIER;sim
6165354;19675.720.040/2021-08;14538;Ativo;Tributário;1º Grau;SP;Sorocaba;;;Autuado;RECEITA FEDERAL DO BRASIL;ADUANEIRO - Infração: aplicação do perdimento das mercadorias amparadas pelo Conhecimento de Embarque (HBL) n°. PY20050078 e DTA n° 200218714-7 – abandono mercadoria;3802138.43;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165351;19675.720041/2021-44;14537;Ativo;Tributário;1º Grau;SP;Sorocaba;;;Autuado;UNIÃO FAZENDA NACIONAL;Aduaneiro - Declaração de Importação n° 20/0943319-9, referente à DTA n° 200218714-7 e Declaração de Importação n° 20/0939996-9, referente à DTA n° 200218717-1 - Infração: perdimento das mercadorias atreladas a Declaração de Importação;143343.63;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165348;15165-720.927/2021-49;14536;Ativo;Tributário;1º Grau;SP;São Paulo;;;Autuado;RECEITA FEDERAL DO BRASIL;ADUANEIRO - Infração: interposição fraudulenta presumida – pena de perdimento – R$ 417.053,21;417053.21;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165342;15165-721.436/2021-63;14535;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;RECEITA FEDERAL DO BRASIL;ADUANEIRO - Infração: cessão de nome para a realização de operações de comércio exterior de terceiros com vistas ao acobertamento dos reais beneficiários – R$ 33.112,25;33112.25;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165336;15165-720.925/2021-50;14534;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;RECEITA FEDERAL DO BRASIL;ADUANEIRO;190800;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165335;15165-720.924/2021-13;14533;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;RECEITA FEDERAL DO BRASIL;ADUANEIRO;308784.19;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
6165330;15165-721.432/2021-85;14532;Ativo;Tributário;1º Grau;PR;Curitiba;;;Autuado;RECEITA FEDERAL DO BRASIL;ADUANEIRO - Infração: interposição fraudulenta comprovada (AR70 COMERCIO E INDUSTRIA LTDA e JOSE CAETANO AMBROSIO) – pena de perdimento – R$ 331.122,61;331122.61;2023-09-04;;;;KIM AUGUSTO ZANONI;sim
