id_processo;numero;pasta;status_label;area;instancia_label;uf;comarca;tribunal_sigla;tribunal_nome;vinculo;nome_contrario;titulo_acao;valor_causa;data_cadastro;data_distribuicao;data_encerramento;fase_atual;advogado;entrou_no_dashboard
14964670;0917900-2025-00338-7;22324;Ativo;Aduaneiro;1o Grau;PR;Curitiba;;;Autuado;ALFANDEGA RFB CURITIBA;TERMO DE INCLUSAO MBP-058/2025;0;2025-12-04;2025-12-03;;;KIM AUGUSTO ZANONI;sim
14963414;15165.722460/2025-43;22313;Ativo;Aduaneiro;1o Grau;PR;Curitiba;;;Autuado;Delegado da Alfandega RFB Curitiba/JFPR;AUTO DE INFRACAO CANCELAMENTO HABILITACAO;0;2025-12-03;2025-11-28;;;KIM AUGUSTO ZANONI;sim
14952637;10906.441003/2025-16;22241;Ativo;Aduaneiro;1o Grau;PR;Curitiba;;;Notificado;ALFANDEGA RFB CURITIBA;Termo Diligencia RCS-912/2025;0;2025-11-27;;;;KIM AUGUSTO ZANONI;sim
14944319;10906.440975/2025-93;22220;Ativo;Aduaneiro;1o Grau;PR;Curitiba;;;Notificado;MINISTERIO DA FAZENDA;Termo de Ciencia;0;2025-11-25;2020-10-29;;;KIM AUGUSTO ZANONI;sim
14900955;10906.402198/2025-89;22035;Ativo;Aduaneiro;1o Grau;PR;Curitiba;;;Investigado;RECEITA FEDERAL;;0;2025-11-04;;;;KIM AUGUSTO ZANONI;sim
